,Name,SMILES,cid,sdf,Name_db,SMILES_db,cid_db,sdf_db
81,(1R)-(-)-dimenthyl succinate,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CCC(=O)O[C@@H]2C[C@@H](CC[C@H]2C(C)C)C)C(C)C,11133006,11133006.sdf,,,,
82,Ethyl 2-chlorobenzoate,CCOC(=O)C1=CC=CC=C1Cl ,81783,81783.sdf,,,,
83,Cyclohexyl butyrate,CCCC(=O)OC1CCCCC1,243783,243783.sdf,,,,
84,n-Pentyl benzoate,CCCCCOC(=O)C1=CC=CC=C1 ,16296,16296.sdf,,,,
85,"2,4-Dichlorophenyl 2,4-dichlorobenzoate [DCPDCB]",C1=CC(=C(C=C1Cl)Cl)C(=O)OC2=C(C=C(C=C2)Cl)Cl,3119453,3119453.sdf,,,,
86,"2,4-Dichlorobenzyl 2,4-dichlorobenzoate  [DCBDCB]",C1=CC(=C(C=C1Cl)Cl)COC(=O)C2=C(C=C(C=C2)Cl)Cl,24212948,24212948.sdf,,,,
87,"Diethyl-2,6-dimethyl 4-phenyl-1,4-dihydro pyridine-3,5-dicarboxylate [DDPDPDC]",CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2)C(=O)OCC)C)C,14420,14420.sdf,,,,
88,(+)-Methyl D-Lactate,C[C@H](C(=O)OC)O,637514,637514.sdf,,,,
89,(-)-Methyl L-Lactate,C[C@@H](C(=O)OC)O,94386,94386.sdf,,,,
90,Propyl acetate,CCCOC(=O)C ,7997,7997.sdf,,,,
91,Butyl acetate,CCCCOC(=O)C ,31272,31272.sdf,,,,
92,Phenyl acetate,CC(=O)OC1=CC=CC=C1 ,31229,31229.sdf,,,,
93,Phenyl propionate,CCC(=O)OC1=CC=CC=C1 ,12497,12497.sdf,,,,
94,Glucose pentaacetate,CC(=O)OCC(C(C(C(C=O)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C ,520932,520932.sdf,,,,
95,Glyceryl trilaurate,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,10851,,,,,10851.sdf
