,Substrate,Name_efi,fuzz_ratio,fuzz_partial_ratio,human_curation
46,L-Lyxitol-5-P    ,L-lyxitol-5-phosphate,L-lyxitol-5-phosphate,L-lyxitol-5-phosphate,
47,D-Arabitol-1-P    ,D-arabitol-1-phosphate,D-arabitol-1-phosphate,D-arabitol-1-phosphate,
48,D-Arabitol-4-P    ,D-arabitol-4-phosphate,D-arabitol-4-phosphate,D-arabitol-4-phosphate,
49,2-deoxy-6-phosphoglucitol,2'-deoxy-6-phosphoglucitol,2'-deoxy-6-phosphoglucitol,2'-deoxy-6-phosphoglucitol,
50,D-sorbitol-1-phosphate,D-sorbitol-1-phosphate,D-sorbitol-1-phosphate,D-sorbitol-1-phosphate,
51,D-mannitol-6-phosphate,D-mannitol-6-phosphate,D-mannitol-6-phosphate,D-mannitol-6-phosphate,
52,D-allitol-6-phosphate,D-allitol-6-phosphate,D-allitol-6-phosphate,D-allitol-6-phosphate,
53,D-galactitol-6-phosphate,D-galactitol-6-phosphate,D-galactitol-6-phosphate,D-galactitol-6-phosphate,
54,D-3-deoxy-sorbitol-6-phosphate,D-3'-deoxy-sorbitol-6-phosphate,D-3'-deoxy-sorbitol-6-phosphate,D-3'-deoxy-sorbitol-6-phosphate,
55,D-iditol-6-phosphate,D-iditol-6-phosphate,D-iditol-6-phosphate,D-iditol-6-phosphate,
56,D-glucitol-3-phosphate,D-glucitol-3-phosphate,D-glucitol-3-phosphate,D-glucitol-3-phosphate,
57,D-allitol-3-phosphate,D-allitol-3-phosphate,D-allitol-3-phosphate,D-allitol-3-phosphate,
58,D-Mannitol-2-P    ,D-mannitol-2-phosphate,D-mannitol-2-phosphate,D-mannitol-2-phosphate,
59,D-Glucuronicitol-5-P,D-glucuronicitol-5-phosphate,D-glucuronicitol-5-phosphate,D-glucuronicitol-5-phosphate,
60,D-Glucitol-2-P    ,D-glucitol-2-phosphate,D-glucitol-2-phosphate,D-glucitol-2-phosphate,
61,L-Glucitol-3-P    ,L-glucitol-3-phosphate,L-glucitol-3-phosphate,L-glucitol-3-phosphate,
