,Name,cid,sdf,Name_db,SMILES_db,cid_db,sdf_db
127,Acetyl-phosphate,,,,,186,
128,Carbamyl-phosphate,,,,,278,
129,dihydroxyacetone phosphate,,,,,668,
130,D-xylulose-5-phosphate,,,,,439190,
131,D-ribulose-5-phosphate,,,,,439184,
132,L-ribulose-5-phosphate,,,,,439399,
133,D-fructose-6-phosphate,,,,,440641,
134,D-tagatose-6-phosphate,,,,,124155,
135,D-psicose-6-phosphate,,,,,16760431,
136,L-sorbose-1-phosphate,,,,,90658051,
137,L-sorbose-4-phosphate,,,,,,G137.sdf
138,D-sedoheptulose-7-phosphate,,,,,165007,
139,pyridoxal-5'-phosphate,,,,,1051,
140,Coenzyme A,,,,,87642,G140.sdf
141,FMN,,,,,643976,
142,NADP,,,,,5885,
143,5'-AMP,,,,,6083,
144,3'-AMP,,,,,41211,
145,dAMP,,,,,12599,
146,UMP,,,,,6030,
147,dUMP,,,,,65063,
148,dTMP,,,,,9700,
149,CMP,,,,,6131,
150,dCMP,,,,,13945,
151,GMP,,,,,135398631,
152,dGMP,,,,,135398597,
153,IMP,,,,,135398640,
154,2'-AMP,,,,,94136,
155,3'-5' ADP,,,,,159296,
156,phosphormic  acid (PFA),,,,,3415,
157,N-phosphonomethyl glycine (PMG),,,,,3496,
158,DL-2'-amino-3-phosphonopropinoic acid (APPA),,,,,177120,
159,5'-phosphoribosyl-1-pyrophosphate,,,,,7339,
160,"α-D-glucose-1,6-bisphosphate",,,,,82400,
161,"D-fructose-1,6-bisphosphate",,,,,10267,
162,"B-glucose-1,6-bisphosphate",,,,,447467,
163,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate",,,,,46906053,
164,"D-glycero-alpha-D-manno-heptose-1,7-bisphosphate",,,,,46906052,
165,"D-glucose-3,5-bisphosphate",,,,,,G165.sdf
166,"D-glucitol-3,5-diphosphate",,,,,,G166.sdf
