,Name,cid,sdf,Name_db,SMILES_db,cid_db,sdf_db
151,GMP,,,,,,
152,dGMP,,,,,,
153,IMP,,,,,,
154,2'-AMP,,,,,,
155,3'-5' ADP,,,,,,
156,phosphormic  acid (PFA),,,,,,
157,N-phosphonomethyl glycine (PMG),,,,,,
158,DL-2'-amino-3-phosphonopropinoic acid (APPA),,,,,,
159,5'-phosphoribosyl-1-pyrophosphate,,,,,,
160,"α-D-glucose-1,6-bisphosphate",,,,,,
161,"D-fructose-1,6-bisphosphate",,,,,,
162,"B-glucose-1,6-bisphosphate",,,,,,
163,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate",,,,,,
164,"D-glycero-alpha-D-manno-heptose-1,7-bisphosphate",,,,,,
165,"D-glucose-3,5-bisphosphate",,,,,,
166,"D-glucitol-3,5-diphosphate",,,,,,
